TutorId,CourseCodCourse
3a78dc59-0168-4bc5-8c36-20625a205cd7,522
07c933d3-0499-4c03-a34d-ed95d5a79458,80
9756c1c3-64b1-4016-8b25-e9b5b0161784,82
a83e1325-e0be-491c-b666-0347876c4d98,200
877c6c4d-f453-4649-b7ff-96e2f743148f,202
2c356170-9949-4586-97f9-ec6fb99d665a,204
7e09e5fd-1701-451a-a714-001a32d5844f,206
5449c539-8f1e-41cc-a573-039c2b84141a,208
519e7205-d755-4e9f-9f5b-0db718fe8189,210
f6e2328a-af8c-4970-bbf6-1bc7071f1075,230
6530575f-e2f0-4dd5-b525-1dde1848ad2e,232
84dc93b1-7c99-4918-afa3-04ef76c33a05,235
0ecd41db-9d91-46b9-aa0b-89fadaa62c65,236
0ecd41db-9d91-46b9-aa0b-89fadaa62c65,240
84dc93b1-7c99-4918-afa3-04ef76c33a05,242
4de89082-6bc1-43e0-a24a-480dd5009cb2,243
84dc93b1-7c99-4918-afa3-04ef76c33a05,244
1589fe0c-2273-4ad2-8d79-9f4c8c3f1c30,245
f450718a-508f-4b66-a7e6-68ca88087ef7,246
f450718a-508f-4b66-a7e6-68ca88087ef7,248
8c1f6090-b409-4924-a739-faab9a887c99,249
d5495656-0283-42f2-8514-847c2314a56e,258
97dc1cb0-eec3-4204-9675-d3f44b710bb1,354
37ba2883-5747-4db6-8ce2-41a040790686,358
97dc1cb0-eec3-4204-9675-d3f44b710bb1,360
97dc1cb0-eec3-4204-9675-d3f44b710bb1,362
71101f47-fb72-480f-bfe6-31023f5abb6f,364
eec0c626-62e5-4451-9678-5572548a0173,366
686d7090-191f-4695-adf6-5dc694a4d897,440
cfaafc63-1b78-4820-adb4-bb4bb5030d43,454
b68ba08f-8954-4aa1-b744-107b2d5bd3b6,462
10065ad3-3715-4366-bb80-ce3d3cc58303,502
bad6a1eb-845b-48c9-b2b2-911753742d94,504
f7479a94-6f98-4dce-90b4-52a3e80f5fb6,510
c7b2f428-c70a-41e2-b9ee-1d37225b8689,520
63442f9a-c039-4d1e-af24-bcac2e410d25,522
5c486663-8087-4a93-98f5-6fecc6ec8610,532
07c933d3-0499-4c03-a34d-ed95d5a79458,550
7a27c157-6d17-4ed8-996e-da0689202297,969
86bb6987-d05f-4cd1-8ddc-10ff06901012,250
c02f1faf-d017-402a-a604-3d84643c1b7f,799
24c11f78-a1c2-4705-9725-5a794653eccb,1
6daa0007-e9d6-483c-8fc9-c9929bb30b3d,5
cff83400-2c0c-40ec-8969-9decdfb2b255,8
0ed47379-ee88-412a-851c-3e2148ee5a57,9
410c8d03-3eba-4d7d-a318-a95b5678a4cc,17
24c11f78-a1c2-4705-9725-5a794653eccb,18
bd977dac-a9c3-4b69-8fda-06bdcadd7793,19
686d7090-191f-4695-adf6-5dc694a4d897,27
